Program-Year-Block,Course,Component,Day,Start,End,Room,Instructor
IT-2C,GE Elec 3,GE Elec 3_LEC_IT-2C,Thursday,13:00,14:00,LEC-007,TBA
IT-2C,GE Elec 3,GE Elec 3_LEC_IT-2C,Wednesday,10:00,11:00,LEC-003,TBA
IT-2A,PathFit 3,PathFit 3_LEC_IT-2A,Friday,11:00,12:00,LEC-004,TBA
IT-2A,PathFit 3,PathFit 3_LEC_IT-2A,Thursday,16:00,17:00,LEC-005,TBA
IT-2B,PathFit 3,PathFit 3_LEC_IT-2B,Friday,16:00,17:00,LAB-001,TBA
IT-2B,PathFit 3,PathFit 3_LEC_IT-2B,Friday,14:00,15:00,LEC-008,TBA
IT-2C,PathFit 3,PathFit 3_LEC_IT-2C,Friday,16:00,17:00,LEC-005,TBA
IT-2C,PathFit 3,PathFit 3_LEC_IT-2C,Tuesday,16:00,17:00,LAB-006,TBA
IT-3A,IT 114,IT 114_LEC_IT-3A,Monday,09:00,10:00,LEC-008,TBA
IT-3A,IT 114,IT 114_LEC_IT-3A,Monday,08:00,09:00,LEC-007,TBA
IT-3A,IT 114,IT 114_LAB_IT-3A,Monday,14:00,17:00,LAB-006,TBA
IT-3B,IT 114,IT 114_LEC_IT-3B,Wednesday,15:00,16:00,LEC-009,TBA
IT-3B,IT 114,IT 114_LEC_IT-3B,Wednesday,10:00,11:00,LEC-002,TBA
IT-3B,IT 114,IT 114_LAB_IT-3B,Friday,14:00,17:00,LAB-003,TBA
IT-3C,IT 114,IT 114_LEC_IT-3C,Monday,10:00,11:00,LEC-008,TBA
IT-3C,IT 114,IT 114_LEC_IT-3C,Monday,09:00,10:00,LEC-004,TBA
IT-3C,IT 114,IT 114_LAB_IT-3C,Thursday,09:00,12:00,LAB-004,TBA
IT-3A,IT 115,IT 115_LEC_IT-3A,Tuesday,13:30,14:30,LEC-006,TBA
IT-3A,IT 115,IT 115_LEC_IT-3A,Friday,15:00,16:00,LEC-005,TBA
IT-3A,IT 115,IT 115_LAB_IT-3A,Thursday,09:00,12:00,LAB-006,TBA
IT-3B,IT 115,IT 115_LEC_IT-3B,Wednesday,13:00,14:00,LAB-004,TBA
IT-3B,IT 115,IT 115_LEC_IT-3B,Tuesday,09:00,10:00,LEC-010,TBA
IT-3B,IT 115,IT 115_LAB_IT-3B,Thursday,08:00,11:00,LAB-003,TBA
IT-3C,IT 115,IT 115_LEC_IT-3C,Wednesday,14:30,15:30,LEC-002,TBA
IT-3C,IT 115,IT 115_LEC_IT-3C,Friday,11:00,12:00,LAB-003,TBA
IT-3C,IT 115,IT 115_LAB_IT-3C,Friday,13:00,16:00,LAB-004,TBA
IT-3A,IT 116,IT 116_LEC_IT-3A,Tuesday,15:30,16:30,LEC-007,TBA
