Course Code,Course Title,Time,Days,Room,Lec,Lab,Units,No. of Hours,ETL Units,Instructor/Professor,Program-Year-Block
IT 124,Social and Professional Issues in Computing,08:00-09:00,W,NB-301,3,0,3,3,,,IT-4B
IT 124,Social and Professional Issues in Computing,16:00-17:00,W,NB-303,3,0,3,3,,,IT-4B
IT 124,Social and Professional Issues in Computing,08:00-09:00,F,NB-303,3,0,3,3,,,IT-4B
IT 125,Capstone Project and Research 2,14:00-16:00,T,NB-101,2,0,2,2,,,IT-4B
IT 126,Cyber Security Principle,16:00-17:00,M,LIB-CL,3,0,3,3,,,IT-4B
IT 126,Cyber Security Principle,13:00-14:00,F,AB-101,3,0,3,3,,,IT-4B
IT 126,Cyber Security Principle,09:00-10:00,M,NB-303,3,0,3,3,,,IT-4B
IT 127,Global Professional Practice,11:00-12:00,W,EB-L1,3,0,3,3,,,IT-4B
IT 127,Global Professional Practice,14:00-15:00,F,AB-101,3,0,3,3,,,IT-4B
IT 127,Global Professional Practice,15:00-16:00,W,AB-101,3,0,3,3,,,IT-4B
ITELECT 003,IT Elective 3*,10:00-12:00,F,OB-L3,2,0,2,2,,,IT-4B
ITELECT 004,IT Elective 4*,15:00-16:00,M,NB-302,3,0,3,3,,,IT-4B
ITELECT 004,IT Elective 4*,13:00-14:00,W,NB-301,3,0,3,3,,,IT-4B
ITELECT 004,IT Elective 4*,14:00-15:00,M,NB-302,3,0,3,3,,,IT-4B
IS 100,Fundamentals of Information Systems,09:00-11:00,M,NB-102,2,0,2,2,,,IS-1A
IS 101,Business Process Management,14:00-15:00,M,LIB-CL,3,0,3,3,,,IS-1A
IS 101,Business Process Management,16:00-17:00,M,AB-201,3,0,3,3,,,IS-1A
IS 101,Business Process Management,13:00-14:00,W,NB-302,3,0,3,3,,,IS-1A
GEC 1,Understanding the Self,14:00-15:00,F,NB-301,3,0,3,3,,,IS-1A
GEC 1,Understanding the Self,13:00-14:00,M,NB-302,3,0,3,3,,,IS-1A
GEC 1,Understanding the Self,09:00-10:00,F,EB-L1,3,0,3,3,,,IS-1A
GEC 2,Readings in Philippine History,10:00-11:00,W,AB-102,3,0,3,3,,,IS-1A
GEC 2,Readings in Philippine History,15:00-16:00,W,AB-102,3,0,3,3,,,IS-1A
GEC 2,Readings in Philippine History,11:00-12:00,W,NB-302,3,0,3,3,,,IS-1A
GEC 3,Mathematics in the Modern World,16:00-17:00,F,LIB-CL,3,0,3,3,,,IS-1A
GEC 3,Mathematics in the Modern World,08:00-09:00,M,NB-302,3,0,3,3,,,IS-1A
GEC 3,Mathematics in the Modern World,08:00-09:00,W,AB-101,3,0,3,3,,,IS-1A
PathFit 1,Movement of Competency Training,10:00-12:00,F,AB-201,2,0,2,2,,,IS-1A
IS 100,Fundamentals of Information Systems,13:00-15:00,T,NB-203,2,0,2,2,,,IS-1B
IS 101,Business Process Management,08:00-09:00,F,LIB-CL,3,0,3,3,,,IS-1B
IS 101,Business Process Management,08:00-09:00,W,AB-201,3,0,3,3,,,IS-1B
IS 101,Business Process Management,13:00-14:00,F,NB-302,3,0,3,3,,,IS-1B
GEC 1,Understanding the Self,16:00-17:00,W,NB-302,3,0,3,3,,,IS-1B
GEC 1,Understanding the Self,09:00-10:00,W,NB-301,3,0,3,3,,,IS-1B
GEC 1,Understanding the Self,15:00-16:00,M,AB-201,3,0,3,3,,,IS-1B
